grid_family,grid_index,gamma,n,initial_temp,warmup_limit,anneal_limit,max_data,final_energy,energy_gap,interval_rmse,mm_dim_truth,mm_dim_recovered,success_flag,runtime_seconds
jitter_log_0p5_0p9_21_seed24051959,7,0.6111915647,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.01302783
jitter_log_0p5_0p9_21_seed24051959,8,0.6382063435,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.01532747
jitter_log_0p5_0p9_21_seed24051959,9,0.6551919559,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.012714111
jitter_log_0p5_0p9_21_seed24051959,10,0.6720832855,24,100,10,10,4,135.6452053,135.6452053,6106828.456,2,1.817623626,false,0.013225204
jitter_log_0p5_0p9_21_seed24051959,11,0.6947153657,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.012478079
jitter_log_0p5_0p9_21_seed24051959,12,0.7154558614,24,100,10,10,4,151.2373892,151.2373892,344640.349,2,1.817623626,false,0.012709722
jitter_log_0p5_0p9_21_seed24051959,13,0.7397086024,24,100,10,10,4,139.4652556,139.4652556,268366.4969,2,1.817623626,false,0.012715658
jitter_log_0p5_0p9_21_seed24051959,14,0.7539519668,24,100,10,10,4,139.4652556,139.4652556,268366.4969,2,1.817623626,false,0.012205715
jitter_log_0p5_0p9_21_seed24051959,15,0.7750813906,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.011856775
jitter_log_0p5_0p9_21_seed24051959,16,0.8010515354,24,100,10,10,4,139.3214849,139.3214849,7210040.598,2,1.817623626,false,0.012031478
jitter_log_0p5_0p9_21_seed24051959,17,0.8173633968,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.01160312
jitter_log_0p5_0p9_21_seed24051959,18,0.8438338386,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011438672
jitter_log_0p5_0p9_21_seed24051959,19,0.8702610881,24,100,10,10,4,142.9861456,142.9861456,113319.2225,2,1.817623626,false,0.011902572
