optimizer_seed,schedule_label,cooling_factor,budget_label,block_index,temperature,energy_eave,causal_precision,causal_recall,causal_f1,missing_relations_count,extra_relations_count,total_relations_target,total_relations_induced,correct_relations,exact_match,success_flag,delta_energy_eave,delta_causal_f1,delta_causal_recall,delta_missing_relations,delta_extra_relations,energy_down_f1_down,energy_down_recall_down,energy_down_missing_up,energy_down_extra_up
1962,gamma_0p8,0.8,medium_25_25_8,6,32.768,522.9798176,0.5336538462,0.3236151603,0.4029038113,232,97,343,208,111,false,false,-2.771209206,0.03744196386,0.0583090379,-20,33,false,false,false,true
1962,gamma_0p8,0.8,medium_25_25_8,7,26.2144,505.2006173,0.55,0.2886297376,0.378585086,244,81,343,180,99,false,false,-17.7792003,-0.02431872521,-0.03498542274,12,-16,true,true,true,false
1962,gamma_0p8,0.8,medium_25_25_8,8,20.97152,482.3838008,0.6492146597,0.361516035,0.4644194757,219,67,343,191,124,false,false,-22.81681652,0.08583438961,0.07288629738,-25,-14,false,false,false,false
1962,gamma_0p9,0.9,medium_25_25_8,1,100,332.1295251,0.5677419355,0.2565597668,0.3534136546,255,67,343,155,88,false,false,NA,NA,NA,NA,NA,false,false,false,false
1962,gamma_0p9,0.9,medium_25_25_8,2,90,470.278136,0.5074626866,0.1982507289,0.285115304,275,66,343,134,68,false,false,138.1486109,-0.06829835064,-0.0583090379,20,-1,false,false,false,false
1962,gamma_0p9,0.9,medium_25_25_8,3,81,637.4058773,0.5046728972,0.1574344023,0.24,289,53,343,107,54,false,false,167.1277413,-0.04511530398,-0.04081632653,14,-13,false,false,false,false
1962,gamma_0p9,0.9,medium_25_25_8,4,72.9,601.1985589,0.5769230769,0.2623906706,0.3607214429,253,66,343,156,90,false,false,-36.20731841,0.1207214429,0.1049562682,-36,13,false,false,false,true
1962,gamma_0p9,0.9,medium_25_25_8,5,65.61,583.8534731,0.5666666667,0.2973760933,0.3900573614,241,78,343,180,102,false,false,-17.34508579,0.02933591849,0.03498542274,-12,12,false,false,false,true
1962,gamma_0p9,0.9,medium_25_25_8,6,59.049,577.2693311,0.4537815126,0.1574344023,0.2337662338,289,65,343,119,54,false,false,-6.584141992,-0.1562911276,-0.139941691,48,-13,true,true,true,false
1962,gamma_0p9,0.9,medium_25_25_8,7,53.1441,569.5421368,0.5185185185,0.2448979592,0.3326732673,259,78,343,162,84,false,false,-7.72719433,0.09890703356,0.08746355685,-30,13,false,false,false,true
1962,gamma_0p9,0.9,medium_25_25_8,8,47.82969,580.4342695,0.5,0.1836734694,0.2686567164,280,63,343,126,63,false,false,10.89213273,-0.06401655091,-0.0612244898,21,-15,false,false,false,false
1962,gamma_0p95,0.95,medium_25_25_8,1,100,332.1295251,0.5677419355,0.2565597668,0.3534136546,255,67,343,155,88,false,false,NA,NA,NA,NA,NA,false,false,false,false
1962,gamma_0p95,0.95,medium_25_25_8,2,95,470.278136,0.5074626866,0.1982507289,0.285115304,275,66,343,134,68,false,false,138.1486109,-0.06829835064,-0.0583090379,20,-1,false,false,false,false
1962,gamma_0p95,0.95,medium_25_25_8,3,90.25,632.192445,0.593220339,0.306122449,0.4038461538,238,72,343,177,105,false,false,161.914309,0.1187308499,0.1078717201,-37,6,false,false,false,false
1962,gamma_0p95,0.95,medium_25_25_8,4,85.7375,596.416546,0.5611510791,0.2274052478,0.3236514523,265,61,343,139,78,false,false,-35.77589894,-0.08019470156,-0.07871720117,27,-11,true,true,true,false
1962,gamma_0p95,0.95,medium_25_25_8,5,81.450625,582.1161785,0.6036585366,0.2886297376,0.3905325444,244,65,343,164,99,false,false,-14.30036758,0.0668810921,0.0612244898,-21,4,false,false,false,true
1962,gamma_0p95,0.95,medium_25_25_8,6,77.37809375,594.7217977,0.4660194175,0.139941691,0.2152466368,295,55,343,103,48,false,false,12.60561922,-0.1752859076,-0.1486880466,51,-10,false,false,false,false
1962,gamma_0p95,0.95,medium_25_25_8,7,73.50918906,584.6077072,0.6219512195,0.2973760933,0.4023668639,241,62,343,164,102,false,false,-10.11409053,0.1871202271,0.1574344023,-54,7,false,false,false,true
1962,gamma_0p95,0.95,medium_25_25_8,8,69.83372961,592.9857934,0.5746268657,0.2244897959,0.322851153,266,57,343,134,77,false,false,8.378086196,-0.07951571087,-0.07288629738,25,-5,false,false,false,false
1987,gamma_0p5,0.5,medium_25_25_8,1,100,322.5500596,0.6055045872,0.1924198251,0.2920353982,277,43,343,109,66,false,false,NA,NA,NA,NA,NA,false,false,false,false
1987,gamma_0p5,0.5,medium_25_25_8,2,50,444.8486095,0.5209580838,0.2536443149,0.3411764706,256,80,343,167,87,false,false,122.2985499,0.04914107236,0.0612244898,-21,37,false,false,false,false
1987,gamma_0p5,0.5,medium_25_25_8,3,25,548.0369189,0.6211180124,0.2915451895,0.3968253968,243,61,343,161,100,false,false,103.1883094,0.05564892624,0.03790087464,-13,-19,false,false,false,false
1987,gamma_0p5,0.5,medium_25_25_8,4,12.5,477.6520778,0.4928571429,0.2011661808,0.2857142857,274,71,343,140,69,false,false,-70.38484108,-0.1111111111,-0.09037900875,31,10,true,true,true,true
1987,gamma_0p5,0.5,medium_25_25_8,5,6.25,389.6941909,0.6186046512,0.387755102,0.476702509,210,82,343,215,133,false,false,-87.95788695,0.1909882232,0.1865889213,-64,11,false,false,false,true
1987,gamma_0p5,0.5,medium_25_25_8,6,3.125,314.5767291,0.619047619,0.4927113703,0.5487012987,174,104,343,273,169,false,false,-75.11746182,0.07199878974,0.1049562682,-36,22,false,false,false,true
1987,gamma_0p5,0.5,medium_25_25_8,7,1.5625,263.5178411,0.6475409836,0.4606413994,0.538330494,185,86,343,244,158,false,false,-51.05888798,-0.01037080466,-0.03206997085,11,-18,true,true,true,false
1987,gamma_0p5,0.5,medium_25_25_8,8,0.78125,215.6289798,0.6133333333,0.2682215743,0.3732251521,251,58,343,150,92,false,false,-47.88886127,-0.1651053419,-0.1924198251,66,-28,true,true,true,false
1987,gamma_0p8,0.8,medium_25_25_8,1,100,322.5500596,0.6055045872,0.1924198251,0.2920353982,277,43,343,109,66,false,false,NA,NA,NA,NA,NA,false,false,false,false
